tweet_id,customer_message,brand_reply,timestamp
1721608,I preordered this game 14 months ago just to be sent it for the wrong console. FML...,I'm sorry for the mix-up! Please contact us so we can look into this and review options: ^WT,Tue Oct 17 18:22:07 +0000 2017
665592,2ème colis qui devait arriver aujourd'hui et ne le sera pas...C'est quoi votre engagement Prime déjà?,Que dit le suivi de votre colis s'il vous plaît ? ^MA,Tue Oct 31 16:07:56 +0000 2017
820663,are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw,"To confirm, has your account been closed or has it been locked pending account information verification? ^EZ",Thu Oct 12 22:04:34 +0000 2017
2110004,dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,We greatly appreciate your honesty! Please provide your info here: so we look into this for you. ^JN,Sun Oct 29 02:08:24 +0000 2017
399101,Fuck u then why the hell u r having Twitter handle,Usually the products are delivered by the estimated delivery date. Could you let me know if we've missed it? ^AU,Sun Oct 29 06:14:15 +0000 2017
379365,I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,"Apologies for the delay, I'd like to look into this, kindly drop in your details here: and 1/2 ^EM",Mon Oct 09 06:57:50 +0000 2017
2262990,don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤,I'm sorry to hear about this! Have you received an e-mail regarding any type of delay? ^VB,Mon Nov 20 23:43:51 +0000 2017
457656,Amazon shipping.,Thanks for confirming with us! We'd like to look into this with you in more detail. Please reach out to us here: so we can investigate! ^VB,Fri Dec 01 00:43:19 +0000 2017
1856105,just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....,Thanks. Do keep us posted. ^HK,Wed Oct 18 07:58:46 +0000 2017
1290402,My lights all appear here but my Dots do not. Should this be where I select them to add?,"Hello, Alanna! We want to help! Contact us here so we can get your Smart Home set up: ^EA",Thu Oct 26 20:54:47 +0000 2017
2113644,It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,"Give us a call, Chelsey, and we'll get this taken care of for you. Here's a link to help: ^EM",Wed Nov 08 20:55:51 +0000 2017
485273,A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,Have you checked your emails to see if there was an email update? I would recommend checking the spam folders as well as the inbox.^BZ,Fri Dec 01 15:36:45 +0000 2017
1177151,your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?,"That's certainly not the experience we want for our customers. To escalate this, please fill out: ^BE",Wed Oct 25 00:21:28 +0000 2017
109807,"Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo.",Sentimos los inconvenientes con esta situación. ¿Podrías indicarnos si los productos son vendidos directamente por Amazon o si han sido vendidos por un vendedor externo? ^PC,Thu Nov 23 20:11:10 +0000 2017
1252203,"haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for",Apologies for the delay. May I know if you've reported this to our support team? ^EM,Thu Oct 26 04:52:35 +0000 2017
2804319,毎週お世話になってます🙏🙏,これからもよろしくお願いいたします！！🙏🙏🙏✨✨,Wed Nov 22 02:34:37 +0000 2017
2608096,"No message, just a blank screen. Was working fine then just stopped. Is working on iPad just not tv",Have you checked for software/firmware updates? Other troubleshooting steps can be found here: ^AM,Mon Oct 30 21:58:25 +0000 2017
2830675,"Pre-orders are all well and good, , but not when you immediately go out of stock of that item... and then won’t allow the order to be cancelled!","HI, I'm sorry to hear of this. Could you try another browser and let us know if you encounter the same issue? ^KI",Mon Nov 27 12:59:26 +0000 2017
